"","기업명","산업군","평점","모집내용","직군","지원자격","근무조건.근무지역","마감일.등록일"
"235","디에스앤텍","IT/웹/통신",3,"보안솔루션 구축 및 유지보수 엔지니어(신입-경력)","기술지원데이터엔지니어유지보수정보보안SE(시스템엔지니어) 외","신입 · 경력
학력무관","정규직 · 계약직
서울 강남구","입사지원
~ 04/15
"
"236","디에스앤텍","IT/웹/통신",3,"농협 상주 보안솔루션 유지보수 엔지니어","기술지원데이터엔지니어유지보수정보보안SE(시스템엔지니어) 외","2 ~ 6년
학력무관","정규직 · 계약직
서울 강남구","입사지원
~ 04/16
"
"237","먼슬리키친","IT/웹/통신",3,"디자인설계/기획설계.시공감리/&시설유지보수 경험자라면 먼키:D","건축디자인경관디자인공간디자인공공디자인실내디자인 외","경력 5년↑
학력무관","정규직 · 프리랜서
서울 강남구","채용 홈페이지
~ 04/12
"
"238","인피니트헬스케어","IT/웹/통신",3,"의료 소프트웨어 개발자 / 시스템엔지니어 모집","SE(시스템엔지니어)S/W기술지원네트워크빅데이터 외","경력무관
대학교(4년)↑","정규직
서울 구로구","입사지원
~ 04/12
"
"239","메쉬코리아","유통/무역/운송",2.9,"[메쉬코리아(부릉)] Software Development Engineer 채용","백엔드/서버개발웹개발Java알고리즘Windows 외","경력무관
대학교(4년)↑","정규직
서울 강남구","홈페이지 지원
상시채용
"
"240","메쉬코리아","유통/무역/운송",2.9,"[메쉬코리아(부릉)] Sr. 데이터 엔지니어 채용","빅데이터HadoopKafkaSpark","5 ~ 15년
학력무관","정규직
서울 강남구","홈페이지 지원
상시채용
"
"241","메쉬코리아","유통/무역/운송",2.9,"[메쉬코리아(부릉)] 데이터 엔지니어(전문연구요원 가능) 채용","데이터분석가빅데이터AWSHadoopJava 외","1 ~ 5년
학력무관","정규직 · 병역특례
서울 강남구","홈페이지 지원
~ 04/16
"
"242","메쉬코리아","유통/무역/운송",2.9,"[메쉬코리아(부릉)] Sr. 백엔드(Java) 엔지니어 채용","백엔드/서버개발웹개발Java모델링인프라 외","5 ~ 15년
학력무관","정규직
서울 강남구","홈페이지 지원
상시채용
"
"243","세스코","서비스업",2.9,"㈜세스코 생활가전 전자(펌웨어)개발 경력직 모집 (6년 이상)","임베디드펌웨어IoTMCU설계엔지니어 외","6 ~ 12년
대학교(4년)↑","정규직
서울 강동구","채용 홈페이지
~ 04/20
"
"244","세스코","서비스업",2.9,"㈜세스코 IT혁신 정보전략 담당자 모집 (3년 이상)","앱개발IT컨설팅SE(시스템엔지니어)SI개발S/W 외","3 ~ 8년
대학교(4년)↑","정규직
서울 강동구","채용 홈페이지
~ 04/19
"
"245","엔시큐어","IT/웹/통신",2.9,"전략사업본부 기술지원 엔지니어 모집","기술지원SE(시스템엔지니어)빅데이터CentOSElasticStack 외","신입 · 경력
학력무관","정규직
서울 용산구","입사지원
~ 04/23
"
"246","가온데이터","IT/웹/통신",2.9,"시스템 운영관리자(중급 이상), CM 배포 관리자 채용","백엔드/서버개발SE(시스템엔지니어)인프라H/WLinux","경력무관
대학(2,3년)↑","정규직 · 프리랜서
서울 서초구","입사지원
채용시
"
"247","가온데이터","IT/웹/통신",2.9,"Linux 시스템 운영관리자 채용(천안 초급)","백엔드/서버개발SE(시스템엔지니어)인프라H/WC++ 외","경력무관
대학(2,3년)↑","정규직 · 프리랜서
서울 영등포구","입사지원
채용시
"
"248","다비오","IT/웹/통신",2.9,"인공위성이미지 분석 딥러닝 엔지니어 팀장급 채용","데이터분석가딥러닝머신러닝블록체인빅데이터 외","5 ~ 15년
석사↑","정규직
서울전체","입사지원
상시채용
"
"249","다비오","IT/웹/통신",2.9,"백엔드 개발자(7년 이상)","백엔드/서버개발웹개발DBASE(시스템엔지니어)RDBMS 외","7 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
"
"250","영림원소프트랩","IT/웹/통신",2.9,"(주)영림원소프트랩 2022 R&D Center 개발자 채용","웹개발빅데이터AI(인공지능)유지보수네트워크 외","경력무관
대학교(4년)↑","정규직
서울 강서구","입사지원
~ 04/22
"
"251","콤텍시스템","IT/웹/통신",2.9,"(주)콤텍시스템 가상화 및 클라우드 부문 모집 공고","클라우드기술지원인프라AWSAzure 외","신입 · 경력
대학교(4년)↑","정규직
서울 영등포구","입사지원
채용시
"
"252","풀무원","제조/화학",2.9,"풀무원 각 부문 경력사원 채용","데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외","경력
대학(2,3년)↑","정규직
서울 강남구","홈페이지 지원
~ 04/17
"
"253","인라이플","IT/웹/통신",2.9,"[주4.5일] 데이터 사이언티스트 (팀장급)","데이터분석가데이터엔지니어웹개발DBA딥러닝 외","8 ~ 10년
학력무관","정규직
서울전체","입사지원
~ 05/31
"
"254","인라이플","IT/웹/통신",2.9,"[주4.5일] 딥러닝 연구 개발자","데이터분석가웹개발프론트엔드SE(시스템엔지니어)딥러닝 외","신입 · 경력
학력무관","정규직
서울전체","입사지원
상시채용
"
"255","인라이플","IT/웹/통신",2.9,"[주4.5일] JAVA 백엔드 개발자","백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","2 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
"
"256","댄포스코리아","유통/무역/운송",2.9,"[댄포스코리아] Technical Support Engineer Drive(Marine)","기술엔지니어전기설계전기제어전기기사전기설비 외","경력 5년↑
대학교(4년)↑","정규직
서울 중구","홈페이지 지원
내일마감
"
"257","에스넷시스템","IT/웹/통신",2.9,"[기흥/화성&평택] Network엔지니어 (신입/경력 6년 이하)","IT컨설팅SE(시스템엔지니어)네트워크정보통신라우터 외","신입 · 경력
대학(2,3년)↑","정규직
서울 강남구","입사지원
~ 04/24
"
"258","에스넷시스템","IT/웹/통신",2.9,"[평택] Network엔지니어 (경력 2년 이상) 채용","IT컨설팅SE(시스템엔지니어)네트워크정보통신라우터 외","경력 2년↑
대학(2,3년)↑","정규직
서울 강남구","입사지원
내일마감
"
"259","키네마스터","IT/웹/통신",2.9,"백엔드 개발자","백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","2 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
"
"260","텔코웨어","IT/웹/통신",2.9,"BSS 시스템 PM/개발","백엔드/서버개발웹개발SE(시스템엔지니어)JavaKubernetes 외","3 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"261","텔코웨어","IT/웹/통신",2.9,"운영관리 시스템 개발","웹개발SE(시스템엔지니어)블록체인인프라DevOps 외","6 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"262","텔코웨어","IT/웹/통신",2.9,"기술지원 및 시험검증","기술지원SE(시스템엔지니어)네트워크Linux빅데이터 외","2 ~ 11년
대학(2,3년)↑","정규직
서울전체","입사지원
상시채용
"
"263","텔코웨어","IT/웹/통신",2.9,"[텔코웨어] 리눅스 기반 C개발자","SE(시스템엔지니어)네트워크인프라DevOpsS/W 외","4 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"264","티유브이슈드코리아","제조/화학",2.9,"Consumer Product Certification Engineer 소비재 인증 엔지니어","기술영업인증심사원신소재유해화학물질품질검사원 외","경력 7년↑
대학교(4년)↑","정규직
서울 영등포구","홈페이지 지원
내일마감
"
"265","토마토시스템","IT/웹/통신",2.9,"[(주)토마토시스템] AI 빅데이터 부문 채용","기술지원데이터분석가데이터엔지니어백엔드/서버개발앱개발 외","신입 · 경력
학력무관","정규직
서울 강남구","입사지원
~ 04/25
"
"266","비알코리아","제조/화학",2.9,"[비알코리아] 각 부문 경력사원 모집","기술지원데이터분석가데이터엔지니어백엔드/서버개발보안컨설팅 외","경력
대학교(4년)↑","정규직
서울 서초구","홈페이지 지원
~ 04/18
"
"267","오픈베이스","IT/웹/통신",2.9,"보안엔지니어 신입/경력 수시채용","보안컨설팅정보보안네트워크방화벽IDC 외","신입 · 경력
대학(2,3년)↑","정규직
서울 서초구","입사지원
상시채용
"
"268","씨제이올리브네트웍스","IT/웹/통신",2.9,"PG/간편결제 백오피스 및 정산 시스템 개발","백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","4 ~ 8년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"269","씨제이올리브네트웍스","IT/웹/통신",2.9,"그룹연결재무/연결내부회계 운영/개발 담당자","웹개발SE(시스템엔지니어)인프라DevOpsJava 외","4 ~ 8년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"270","씨제이올리브네트웍스","IT/웹/통신",2.9,"그룹 통합법무정보 시스템 운영/개발","웹개발프론트엔드DBASE(시스템엔지니어)인프라 외","8 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"271","씨제이올리브네트웍스","IT/웹/통신",2.9,"푸드빌 SAP MM","SE(시스템엔지니어)인프라DevOpsSAPABAP 외","3 ~ 8년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"272","씨제이올리브네트웍스","IT/웹/통신",2.9,"대한통운 해외 SAP-FI 운영","SE(시스템엔지니어)인프라DevOpsSAPABAP 외","5 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"273","씨제이올리브네트웍스","IT/웹/통신",2.9,"대한통운 해외 SAP-CO 운영","SE(시스템엔지니어)인프라DevOpsABAP블록체인 외","5 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"274","씨제이올리브네트웍스","IT/웹/통신",2.9,"SAP-FCM(FI/CO) 운영&개발","SE(시스템엔지니어)인프라DevOpsSAPABAP 외","7 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"275","씨제이올리브네트웍스","IT/웹/통신",2.9,"물류 솔루션 개발 및 운영 전문가","웹개발프론트엔드DBASE(시스템엔지니어)인프라 외","5 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"276","씨제이올리브네트웍스","IT/웹/통신",2.9,"HPC-AI 아키텍트","웹개발SE(시스템엔지니어)딥러닝머신러닝알고리즘 외","8 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"277","씨제이올리브네트웍스","IT/웹/통신",2.9,"Data Science Engineer","데이터분석가데이터엔지니어백엔드/서버개발웹개발SE(시스템엔지니어) 외","5 ~ 15년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"278","씨제이올리브네트웍스","IT/웹/통신",2.9,"미디어솔루션 PM/PL","SE(시스템엔지니어)인프라DevOpsPL(프로젝트리더)PM(프로젝트매니저) 외","7 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"279","씨제이올리브네트웍스","IT/웹/통신",2.9,"스마트팩토리 사업 수행 (PM/PL/개발)","데이터분석가데이터엔지니어웹개발데이터마이닝데이터시각화 외","5 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"280","한국이콜랩","제조/화학",2.9,"[외국계 화학] 각 부문 신입/경력 채용","백엔드/서버개발보안컨설팅유지보수정보보안네트워크 외","신입 · 경력
학력무관","정규직 · 계약직
서울 송파구","입사지원
~ 04/17
"
"281","미로","제조/화학",2.9,"(주)미로 전문연구요원(병역특례) 부문별 모집","데이터분석가빅데이터H/WIoTS/W 외","신입 · 경력
대학(2,3년)↑","정규직
인천 연수구","입사지원
~ 04/13
"
"282","틱톡","IT/웹/통신",2.9,"[TikTok] Content Moderator-Korea (Disability Hiring, 장애인 채용) 채용","데이터분석가데이터엔지니어QA/테스터데이터라벨링데이터마이닝 외","신입 · 경력
대학(2,3년)↑","정규직
서울 강남구","홈페이지 지원
~ 04/29
"
"283","틱톡","IT/웹/통신",2.9,"[TikTok] Search Operations Quality Assurance - Korean 채용","데이터분석가데이터엔지니어QA/테스터데이터라벨링데이터마이닝 외","신입 · 경력
대학교(4년)↑","정규직
서울 강남구","홈페이지 지원
~ 04/29
"
"284","틱톡","IT/웹/통신",2.9,"[TikTok] Content quality specialist 채용","데이터분석가데이터엔지니어QA/테스터데이터시각화사이트관리 외","경력
대학교(4년)↑","정규직
서울 강남구","홈페이지 지원
~ 04/16
"
"285","한일네트웍스","IT/웹/통신",2.9,"한일네트웍스 SE채용 추가모집(서울 충정로 근무)","SE(시스템엔지니어)네트워크인프라WindowsLinux 외","신입
대학(2,3년)↑","정규직 · 계약직
서울 마포구","입사지원
~ 04/13
"
"286","솔트룩스","IT/웹/통신",2.8,"AI 및 빅데이터 사업 수행/개발","데이터분석가데이터엔지니어웹개발프론트엔드SE(시스템엔지니어) 외","3 ~ 10년
대학(2,3년)↑","정규직
서울전체","입사지원
상시채용
"
"287","솔트룩스","IT/웹/통신",2.8,"시스템 엔지니어","백엔드/서버개발웹개발SE(시스템엔지니어)인프라클라우드 외","4 ~ 8년
대학(2,3년)↑","정규직
서울전체","입사지원
~ 04/30
"
"288","유비케어","IT/웹/통신",2.8,"윈도우 약국 서비스 경력 개발자","DBASE(시스템엔지니어)S/WWindowsC# 외","3 ~ 8년
대학(2,3년)↑","정규직
서울전체","입사지원
~ 04/15
"
"289","유비케어","IT/웹/통신",2.8,"데이터 플랫폼 웹 풀스택 경력 개발자","백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","5 ~ 10년
대학(2,3년)↑","정규직
서울전체","입사지원
~ 04/15
"
"290","유비케어","IT/웹/통신",2.8,"시스템(서버) 관리","백엔드/서버개발웹개발DBASE(시스템엔지니어)Windows 외","3 ~ 5년
대학(2,3년)↑","정규직
서울전체","입사지원
~ 04/15
"
"291","유비케어","IT/웹/통신",2.8,"웹 풀스택 신입 개발자","백엔드/서버개발웹개발퍼블리셔프론트엔드SE(시스템엔지니어) 외","신입 · 경력
대학(2,3년)↑","정규직
서울전체","입사지원
~ 04/15
"
"292","셀바스에이아이","IT/웹/통신",2.8,"[셀바스AI] C++ 개발자 신입/경력 채용","앱개발SE(시스템엔지니어)미들웨어빅데이터임베디드 외","신입 · 경력
대학교(4년)↑","정규직
서울 금천구","채용 홈페이지
~ 05/01
"
"293","셀바스에이아이","IT/웹/통신",2.8,"데이터 엔지니어 개발자","백엔드/서버개발웹개발빅데이터C++C언어 외","5 ~ 8년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"294","아이센스","의료/제약/복지",2.8,"(주)아이센스 2022년 상반기 신입 및 경력 수시채용","백엔드/서버개발웹개발유지보수퍼블리셔프론트엔드 외","신입 · 경력
학력무관","정규직
서울 서초구","홈페이지 지원
~ 05/01
"
"295","엔텔스","IT/웹/통신",2.8,"[IT상장사] (주)엔텔스 나주지점 엔지니어 정규직 채용","백엔드/서버개발웹개발프론트엔드네트워크C++ 외","신입 · 경력
학력무관","정규직
서울 강남구","입사지원
~ 04/17
"
"296","브레인즈컴퍼니","IT/웹/통신",2.8,"소프트웨어 엔지니어(전문연구요원, 신입 및 전직)","백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","신입 · 경력
석사↑","정규직
서울전체","홈페이지 지원
~ 06/30
"
"297","어보브반도체","제조/화학",2.8,"어보브반도체 부문별 신입/경력직 채용","유지보수모델링IoTMCUS/W 외","신입 · 경력
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/12
"
"298","넷앤드","IT/웹/통신",2.8,"제품 기획, QA, 엔지니어 및 인프라 개발 인력 채용","보안컨설팅유지보수정보보안IT컨설팅QA/테스터 외","경력무관
학력무관","정규직
서울 영등포구","입사지원
~ 04/30
"
"299","넷앤드","IT/웹/통신",2.8,"신규솔루션 개발(Java/JavaScript/React)신입/경력 채용","백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)Java 외","신입 · 경력
학력무관","정규직
서울 영등포구","입사지원
~ 04/30
"
"300","키움증권","은행/금융업",2.8,"리테일총괄본부 경력직 채용","데이터분석가데이터엔지니어DBA데이터라벨링데이터마이닝 외","경력
대학교(4년)↑","정규직
서울 영등포구","입사지원
채용시
"
"301","티몬","IT/웹/통신",2.8,"[티몬] 빅데이터 엔지니어","데이터마이닝딥러닝모델링빅데이터ETL 외","경력 3년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/29
"
"302","에스티에이테스팅컨설팅","IT/웹/통신",2.8,"SW테스트 컨설턴트 모집","백엔드/서버개발웹마스터유지보수GM(게임운영)IT컨설팅 외","경력 5년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/24
"
"303","효성아이티엑스","IT/웹/통신",2.8,"[효성ITX] 스마트팩토리 시스템 개발 운영자 신입/경력사원 모집","SE(시스템엔지니어)솔루션ASP.NETC#Java 외","신입 · 경력
학력무관","정규직
서울 영등포구","입사지원
~ 05/18
"
"304","맨파워코리아","서비스업",2.8,"[외국계] Sales Engineer 경력(소프트웨어)","기술영업IT영업연구원R&D","4 ~ 7년
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 05/05
"
"305","리틀팍스","IT/웹/통신",2.7,"PHP 개발자 채용","백엔드/서버개발웹개발유지보수DBAQA/테스터 외","경력 5년↑
학력무관","정규직
서울 강남구","입사지원
채용시
"
"306","키스템프","서비스업",2.7,"[강남구] 이커머스기업 퍼포먼스마케터 경력직 채용(7년 이상)","데이터분석가데이터엔지니어데이터마이닝데이터시각화빅데이터 외","경력 7년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/17
"
"307","고영테크놀러지","제조/화학",2.7,"[고영테크놀러지] 각 부문별 경력사원 모집","웹개발정보보안DBMSDevOpsFPGA 외","경력
대학교(4년)↑","정규직 · 계약직
경기 용인시 수지구","입사지원
내일마감
"
"308","스카우트","IT/웹/통신",2.7,"Elastic Stack 전문가 (삼성계열 SW 전문기업)","데이터분석가머신러닝빅데이터AI(인공지능)Hadoop 외","경력 2년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
채용시
"
"309","스카우트","IT/웹/통신",2.7,"[울산] 상장사 화학공장 생산관리 (경력5~10년)","생산관리공정엔지니어공정관리","5 ~ 10년
대학교(4년)↑","정규직
서울 강남구","입사지원
채용시
"
"310","스카우트","IT/웹/통신",2.7,"SSD 호환성/성능평가 엔지니어를 모십니다","불량분석SSD분석및평가","경력 1년↑
학력무관","정규직
서울 강남구","입사지원
~ 04/28
"
"311","스카우트","IT/웹/통신",2.7,"[코스닥 플랜트회사] 다분야 엔지니어채용","기술엔지니어플랜트설계배관설계산업플랜트공정설계 외","경력무관
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 05/01
"
"312","스카우트","IT/웹/통신",2.7,"유명게임사 QA Engineer","데이터분석가QA/테스터데이터마이닝데이터시각화빅데이터 외","3 ~ 10년
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/29
"
"313","에이스휴먼파워","서비스업",2.7,"[가산역/대기업/DB관리] 카카오맵 간단 사무 관리자 채용","기술지원데이터분석가데이터엔지니어백엔드/서버개발보안컨설팅 외","경력무관
고졸↑","파견직
서울 금천구","입사지원
~ 05/07
"
"314","에이스휴먼파워","서비스업",2.7,"[배달의민족 본사] 월요일 늦잠 잘 IT헬프데스크 직원 채용","기술지원보안컨설팅앱개발유지보수정보보안 외","경력무관
고졸↑","계약직 · 파견직
서울 송파구
240만원 이상 (면접 후 협의)","입사지원
상시채용
"
"315","에이스휴먼파워","서비스업",2.7,"[강남역/복리후생 우수] 엔픽셀 IT헬프데스크 직원 채용","게임개발기술지원보안컨설팅앱개발유지보수 외","경력무관
고졸↑","계약직 · 파견직
서울 강남구","입사지원
~ 04/22
"
"316","에이스휴먼파워","서비스업",2.7,"[본사] 한국평가데이터(KoDATA) 데이터가공/ 추출 (SQL, DBMS)","데이터분석가데이터엔지니어백엔드/서버개발웹개발프론트엔드 외","경력무관
대학교(4년)↑","계약직
서울 영등포구
333만원","입사지원
~ 04/16
"
"317","에이스휴먼파워","서비스업",2.7,"[동대문/복지우수] 무신사 스토어 시스템 관리자 채용","기술지원데이터분석가데이터엔지니어백엔드/서버개발웹개발 외","경력무관
고졸↑","계약직 · 파견직
서울 중구","입사지원
~ 04/15
"
"318","에프앤자산평가","IT/웹/통신",2.7,"각 부문별 정규직원 채용","네트워크클라우드AWSC#C++ 외","신입 · 경력
대학교(4년)↑","정규직
서울 강서구","입사지원
~ 04/17
"
"319","동아엘텍","제조/화학",2.7,"[㈜동아엘텍] 생산부문, 연구소(SW개발, HW설계) 신입/경력 채용","데이터분석가머신러닝빅데이터FPGAH/W 외","신입 · 경력
학력무관","정규직
경기 안양시 동안구","입사지원
~ 04/29
"
"320","엠토스솔루션스","IT/웹/통신",2.7,"시스템 모니터링 및 운영 관제 OP 직원 모집","백엔드/서버개발네트워크H/WC++","신입 · 경력
학력무관","정규직
서울 강남구","입사지원
~ 04/21
"
"321","힐티코리아","유통/무역/운송",2.7,"Industry Key Project Manager(근무지: 경기) 건설영업 채용","건설영업해외영업거래처영업영업고객관리","경력 3년↑
대학(2,3년)↑","정규직
서울 송파구","입사지원
~ 04/17
"
"322","에쓰씨케이","IT/웹/통신",2.7,"[SCK] Security 엔지니어 채용","기술지원보안컨설팅정보보안솔루션DLP 외","신입 · 경력
학력무관","정규직 · 인턴직
서울 강남구","입사지원
채용시
"
"323","희림종합건축사사무소","건설업",2.7,"부문채용(CM플랜트&클린룸/설계/유튜브/기획/VR/현장)","웹개발웹마스터퍼블리셔영상처리웹표준·웹접근성 외","신입 · 경력
학력무관","정규직 · 계약직
서울전체","입사지원
~ 04/20
"
"324","한국전자인증","IT/웹/통신",2.7,"V2X 보안인증 개발자(엔지니어)","웹개발DBASE(시스템엔지니어)인프라DevOps 외","3 ~ 7년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"325","롯데정보통신","IT/웹/통신",2.7,"[롯데정보통신] Cloud","백엔드/서버개발웹개발SE(시스템엔지니어)데이터마이닝데이터시각화 외","2 ~ 20년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"326","미소","IT/웹/통신",2.7,"[외국계 스타트업 미소] Sales Manager / Intern 채용","영업관리영업지원영업직판매직영업마케팅 외","신입 · 경력
학력무관","정규직 · 인턴직
서울 서초구","입사지원
~ 04/25
"
"327","드림어스컴퍼니","IT/웹/통신",2.7,"FLO 정보보호 담당자 채용","보안컨설팅정보보안SE(시스템엔지니어)솔루션인프라 외","경력 3년↑
학력무관","정규직
서울 서초구","홈페이지 지원
~ 04/30
"
"328","드림어스컴퍼니","IT/웹/통신",2.7,"FLO 서비스기획(Senior) 채용","데이터분석가데이터엔지니어백엔드/서버개발데이터라벨링데이터마이닝 외","경력 7년↑
학력무관","정규직
서울 서초구","홈페이지 지원
~ 04/30
"
"329","드림어스컴퍼니","IT/웹/통신",2.7,"[뮤직서비스FLO] DW/BI 담당자","데이터분석가데이터엔지니어백엔드/서버개발웹개발DBA 외","7 ~ 12년
학력무관","정규직
서울전체","입사지원
상시채용
"
"330","드림어스컴퍼니","IT/웹/통신",2.7,"[뮤직플랫폼 FLO] 데이터 엔지니어 (Python 백엔드 경력자)","데이터분석가백엔드/서버개발웹개발DBASE(시스템엔지니어) 외","2 ~ 5년
학력무관","정규직
서울전체","입사지원
상시채용
"
"331","케이티씨에스","IT/웹/통신",2.7,"2022년 상반기 경력직 채용","백엔드/서버개발웹개발유지보수정보보안SE(시스템엔지니어) 외","경력 2년↑
대학교(4년)↑","정규직
서울 강서구","홈페이지 지원
~ 04/20
"
"332","메가존","IT/웹/통신",2.7,"[메가존] 인프라 / 배포 / AA 경력자 채용","데이터분석가데이터엔지니어DBA데이터라벨링데이터마이닝 외","경력
학력무관","정규직
서울 강남구","입사지원
~ 06/30
"
"333","메가존","IT/웹/통신",2.7,"[메가존] 클라우드 네이티브 아키텍처 채용","데이터엔지니어보안컨설팅정보보안클라우드DevOps 외","경력무관
학력무관","정규직
서울 강남구","입사지원
~ 06/30
"
"334","메가존","IT/웹/통신",2.7,"[메가존] 데이터 사업 부문 개발자 경력 채용","백엔드/서버개발보안컨설팅웹개발IT컨설팅머신러닝 외","경력 3년↑
학력무관","정규직
서울 강남구","입사지원
~ 06/30
"
"335","베스핀글로벌","IT/웹/통신",2.7,"[구글] Analytics Engineer 영입","데이터분석가백엔드/서버개발네트워크빅데이터클라우드 외","경력 3년↑
학력무관","정규직
서울 서초구","홈페이지 지원
상시채용
"
"336","윕스","기관/협회",2.7,"(주)윕스 - IT분야 (AI,Data,데이터마이닝,웹기획,웹퍼블리셔) 신입/경력 모집","데이터분석가데이터엔지니어백엔드/서버개발퍼블리셔프론트엔드 외","신입 · 경력
대학(2,3년)↑","정규직
서울 마포구","입사지원
~ 04/11
"
"337","이글루시큐리티","IT/웹/통신",2.7,"보안솔루션 기술지원 엔지니어 신입 채용","기술지원유지보수정보보안SE(시스템엔지니어)솔루션 외","신입
대학(2,3년)↑","정규직
서울 송파구","입사지원
~ 05/08
"
"338","이글루시큐리티","IT/웹/통신",2.7,"사내 IT 네트워크 관리자","웹개발DBASE(시스템엔지니어)방화벽인프라 외","신입 · 경력
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/14
"
"339","이글루시큐리티","IT/웹/통신",2.7,"서버/백엔드 개발자","데이터분석가데이터엔지니어백엔드/서버개발웹개발SE(시스템엔지니어) 외","4 ~ 20년
대학(2,3년)↑","정규직
서울전체","입사지원
~ 04/24
"
"340","이글루시큐리티","IT/웹/통신",2.7,"데이터 수집 개발자","데이터분석가데이터엔지니어보안컨설팅정보보안CISO 외","1 ~ 10년
학력무관","정규직
서울전체","입사지원
~ 04/24
"
"341","이글루시큐리티","IT/웹/통신",2.7,"AI 빅데이터 플랫폼 개발","데이터분석가데이터엔지니어웹개발SE(시스템엔지니어)검색엔진 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/24
"
"342","이글루시큐리티","IT/웹/통신",2.7,"Python 개발자","데이터분석가데이터엔지니어웹개발프론트엔드SE(시스템엔지니어) 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/24
"
"343","이글루시큐리티","IT/웹/통신",2.7,"JAVA 클라우드 개발자","백엔드/서버개발웹개발DBASE(시스템엔지니어)인프라 외","3 ~ 16년
대학(2,3년)↑","정규직
서울전체","입사지원
~ 04/24
"
"344","넷아이디","IT/웹/통신",2.7,"개발자,엔지니어 채용(청년내일채움공제 참여가능)","백엔드/서버개발웹마스터QA/테스터SE(시스템엔지니어)네트워크 외","신입 · 경력
대학(2,3년)↑","정규직
서울 강남구","입사지원
~ 04/27
"
"345","에스케이쉴더스","서비스업",2.7,"[SK쉴더스] Corporate Center DT운영팀 경력직 채용","데이터분석가데이터엔지니어백엔드/서버개발DBAIT컨설팅 외","경력 5년↑
대학교(4년)↑","정규직
서울 강남구","홈페이지 지원
~ 04/14
"
"346","에스케이쉴더스","서비스업",2.7,"[SK쉴더스] SAP시스템 회계 모듈 개발 경력직 채용","기술지원백엔드/서버개발앱개발웹개발유지보수 외","경력
대학교(4년)↑","정규직
서울 강남구","홈페이지 지원
~ 04/12
"
"347","알피니언메디칼시스템","제조/화학",2.7,"[일진그룹]초음파 의료기기 SW개발(Windows, C++, C#) 대리-차장","데이터분석가머신러닝빅데이터APIS/W 외","3 ~ 15년
대학교(4년)↑","정규직
경기 안양시 동안구","입사지원
~ 04/27
"
"348","이포즌","IT/웹/통신",2.7,"[개발팀] 자사 솔루션 개발 프론트엔드 채용","웹개발퍼블리셔프론트엔드DBASE(시스템엔지니어) 외","3 ~ 15년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
"349","이포즌","IT/웹/통신",2.7,"[개발팀] 자사 솔루션 개발 백엔드 채용","백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","3 ~ 15년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
"
