"","기업명","모집내용","지원자격","근무조건/근무지역","마감일/등록일"
"1","모바일리더
모바일리더그룹","모바일리더·인지소프트 공채 16기 상반기 신입사원 채용
기술지원앱개발웹개발유지보수퍼블리셔 외","신입
대학(2,3년)↑","정규직
서울 강남구","입사지원
내일마감
(11일 전 등록)"
"2","오텍오티스파킹시스템
오텍그룹","오텍오티스파킹시스템 채용(기술연구소, 기획사업부, 수도권사업부)
기술지원데이터분석가데이터엔지니어ICT컨설팅네트워크 외","경력
대학(2,3년)↑","정규직
서울 영등포구","입사지원
~ 04/08(금)
(9일 전 등록)"
"3","헤븐트리","[글로벌 PPM 솔루션 전문기업] 2022년 대규모 공개채용
데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외","신입 · 경력
학력무관","정규직
대구 수성구","입사지원
~ 05/01(일)
(5일 전 등록)"
"4","주식회사 핌아시아","[핌아시아 떠리몰] 이커머스 개발자 주임/대리/과장 채용
데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외
","경력 1년↑
학력무관","정규직
서울 강남구","입사지원
~ 05/30(월)
(3일 전 등록)"
"5","오픈메이트","[오픈메이트] 플랫폼사업본부 신입/경력 인재모집
데이터분석가백엔드/서버개발웹개발정보보안퍼블리셔 외","경력무관
학력무관","정규직
서울 서대문구","입사지원
~ 04/15(금)
(2일 전 등록)"
"6","캐플릭스","[주 4일제 근무] 캐플릭스(제주패스) 부문별 경력 / 신입 채용
백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외
","신입 · 경력
학력무관","정규직
제주 제주시","홈페이지 지원
~ 04/30(토)
(52일 전 등록)"
"7","왈도시스템","통신 엔지니어 신입 채용
기술지원유지보수네트워크통신설계통신공사","신입
고졸↑","정규직
서울 강서구","입사지원
~ 04/08(금)
(26일 전 등록)"
"8","디아이티","AI기반 영상처리 SW/비전SW/광학/PC제어/기구설계/영업/QC 채용
앱개발딥러닝머신러닝미들웨어빅데이터 외","신입 · 경력
대학교(4년)↑","정규직
경기 수원시 영통구","입사지원
~ 04/12(화)
(20일 전 등록)"
"9","코비젼","(주)코비젼 각 부문 경력/신입 채용
기술지원데이터분석가백엔드/서버개발앱개발웹개발 외","신입 · 경력
학력무관","정규직
서울 강서구","입사지원
~ 04/07(목)
(10일 전 등록)"
"10","이젠아카데미","[국비지원 취업]빅데이터·웹앱개발/웹/광고편집/영상/건축
데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외","신입 · 경력
학력무관","교육생
서울전체","입사지원
~ 04/30(토)
(405일 전 등록)"
"11","니트로스튜디오
넥슨그룹","니트로스튜디오 정규직 채용공고
게임개발백엔드/서버개발앱개발웹개발프론트엔드 외","신입 · 경력
학력무관","정규직
서울 강남구","홈페이지 지원
채용시
(222일 전 등록)"
"12","에이치엔아이엔씨","HN (舊현대BS&C 주식회사) [건설부문 / 경영관리부문 / IT부문] 신입/경력 채용공고
기술지원데이터분석가데이터엔지니어백엔드/서버개발앱개발 외","신입 · 경력
학력무관","정규직 · 계약직
서울 중구","입사지원
내일마감
(5일 전 등록)"
"13","광주은행
JB금융그룹그룹","2022년 광주은행 전문경력직 채용
데이터분석가데이터엔지니어백엔드/서버개발웹개발퍼블리셔 외","경력
학력무관","정규직 · 계약직
광주 동구","입사지원
~ 04/13(수)
(5일 전 등록)"
"14","리만코리아","2022년 각 부문별 신입/경력 채용(대구 및 서울)
백엔드/서버개발정보보안프론트엔드SE(시스템엔지니어)네트워크 외","신입 · 경력
학력무관","정규직 · 계약직
서울 강남구","입사지원
~ 04/11(월)
(20일 전 등록)"
"15","씨앤아이테크놀로지","반도체 장비 2022년 상반기 신입/경력 채용
데이터엔지니어유지보수SE(시스템엔지니어)정보통신S/W 외","신입 · 경력
대학(2,3년)↑","정규직
경기 화성시
3,500만원","입사지원
~ 05/21(토)
(12일 전 등록)"
"16","바이오일레븐","[바이오일레븐] 각 부문 (재무/마케팅/MD/영업/물류/개발/연구소) 채용
데이터분석가백엔드/서버개발앱개발프론트엔드SE(시스템엔지니어) 외","경력 3년↑
대학교(4년)↑","정규직 · 계약직
서울 강남구","입사지원
~ 04/30(토)
(9일 전 등록)"
"17","신한은행
신한금융지주회사그룹","2022년 디지털/ICT 수시채용 석·박사 특별채용 공고
데이터분석가백엔드/서버개발보안컨설팅앱개발웹개발 외","신입 · 경력
석사↑","정규직
서울 중구","홈페이지 지원
~ 04/13(수)
(4일 전 등록)"
"18","이마트에브리데이
신세계그룹","이마트에브리데이 경력사원 채용
기술지원데이터분석가데이터엔지니어백엔드/서버개발앱개발 외","경력
대학교(4년)↑","정규직
서울 성동구","홈페이지 지원
~ 04/11(월)
(2일 전 등록)"
"19","경일게임아카데미","게임회사 취업 연수생 모집
게임개발데이터분석가백엔드/서버개발앱개발웹개발 외","경력무관
학력무관","교육생
서울 강동구","입사지원
~ 04/10(일)
(223일 전 등록)"
"20","케이앤웍스
카카오그룹","[신입/경력]카카오맵 지도 배경 업데이트 담당자 모집
데이터분석가데이터엔지니어네트워크데이터라벨링데이터마이닝 외","신입 · 경력
학력무관","계약직
서울 금천구","입사지원
~ 04/08(금)
(17일 전 등록)"
"21","인터리젠","2022년 상반기 각 부문 인재 모집
기술지원데이터분석가데이터엔지니어백엔드/서버개발웹개발 외","신입 · 경력
대학(2,3년)↑","정규직
서울 강남구","입사지원
~ 04/17(일)
(13일 전 등록)"
"22","케이앤웍스
카카오그룹","[신입/경력] 카카오맵/카카오내비 데이터 관리 및 모니터링 담당자 모집
데이터분석가데이터엔지니어DBA네트워크데이터라벨링 외","경력무관
학력무관","계약직
서울 금천구","입사지원
~ 04/08(금)
(13일 전 등록)"
"23","엘아이지시스템
엘아이지그룹","2022년 LIG시스템 각 부문별 신입/경력 채용
기술지원데이터엔지니어백엔드/서버개발보안컨설팅앱개발 외","신입 · 경력
대학(2,3년)↑","정규직
서울 종로구","입사지원
~ 04/08(금)
(13일 전 등록)"
"24","디모아
칼라스홀딩스그룹","[쌍방울그룹 계열사] 각 분야 채용공고
유지보수빅데이터클라우드기술영업영업지원 외","신입 · 경력
학력무관","정규직
서울 용산구","입사지원
~ 04/06(수)
(11일 전 등록)"
"25","세스코라이프케어","㈜세스코라이프케어 각 부문별 경력직 채용
전산회계더존4대보험관리회계기업회계 외","경력무관
고졸↑","정규직 · 계약직
서울전체","입사지원
~ 04/15(금)
(10일 전 등록)"
"26","풀무원
풀무원그룹","풀무원 각 부문 경력사원 채용
데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외","경력
대학(2,3년)↑","정규직
서울 강남구","홈페이지 지원
~ 04/10(일)
(6일 전 등록)"
"27","잇솔루션","[패션기업 LF] 프론트엔드 개발자 경력직 채용
기술지원데이터분석가데이터엔지니어앱개발웹개발 외","경력 3년↑
학력무관","정규직 · 계약직
서울 강남구","입사지원
~ 04/11(월)
(6일 전 등록)"
"28","제이콘텐트리
중앙그룹","[제이콘텐트리 조인스부문] IT 경력 채용
기술지원데이터분석가데이터엔지니어백엔드/서버개발앱개발 외
","신입 · 경력
대학(2,3년)↑","정규직 · 계약직
서울 마포구","홈페이지 지원
~ 04/10(일)
(5일 전 등록)"
"29","오누이","[에듀테크 스타트업 오누이/설탭] 대규모 개발자 채용
기술지원데이터분석가데이터엔지니어백엔드/서버개발앱개발 외","경력
학력무관","정규직
서울 마포구","입사지원
~ 04/30(토)
(3일 전 등록)"
"30","엔에스텍","시스템/응용 프로그래머,네트워크 패킷 분석 엔지니어,기술지원 신입/경력 채용
백엔드/서버개발앱개발웹개발정보보안IT컨설팅 외","신입 · 경력
대학(2,3년)↑","정규직
서울 강남구","입사지원
~ 04/30(토)
(3일 전 등록)"
"31","오누이","[에듀테크 스타트업 오누이/설탭] 웹/앱 서비스 리드 개발자 채용
데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외","경력
학력무관","정규직
서울 마포구","입사지원
~ 04/30(토)
(3일 전 등록)"
"32","한국이콜랩","[외국계 화학] 각 부문 신입/경력 채용
백엔드/서버개발보안컨설팅유지보수정보보안네트워크 외","신입 · 경력
학력무관","정규직 · 계약직
서울 송파구","입사지원
~ 04/17(일)
(3일 전 등록)"
"33","에프앤자산평가
화천그룹","각 부문별 정규직원 채용
네트워크클라우드AWSC#C++ 외","신입 · 경력
대학교(4년)↑","정규직
서울 강서구","입사지원
~ 04/17(일)
(3일 전 등록)"
"34","케이앤웍스
카카오그룹","[신입/경력] 카카오맵 교통 데이터 운영 관리 담당자 모집
데이터분석가데이터엔지니어검색엔진데이터라벨링데이터마이닝 외","경력무관
학력무관","계약직
서울 금천구","입사지원
~ 04/08(금)
(2일 전 등록)"
"35","동성케미컬
동성그룹","2022년 상반기 각 부문 채용
웹개발빅데이터ERPRPASAP 외","신입 · 경력
대학교(4년)↑","정규직
서울 중구","홈페이지 지원
~ 04/11(월)
(2일 전 등록)"
"36","넷코아테크","[신입/경력]네트워크,정보보안 엔지니어,영업,기획,품질관리 모집
기술지원데이터분석가백엔드/서버개발보안컨설팅정보보안 외","신입 · 경력
학력무관","정규직
서울 성동구","입사지원
~ 04/14(목)
(2일 전 등록)"
"37","아이엘그룹","[IL GROUP] 직무별 신입/경력직 채용 (회계,품질,영업,설계,생산)
네트워크H/WIoT전산회계회계사 외","신입 · 경력
학력무관","정규직
경기 성남시","입사지원
~ 04/30(토)
(2일 전 등록)"
"38","이머니
다우키움그룹","㈜이머니 금융 서버 개발자 신입 채용
앱개발웹개발웹마스터퍼블리셔프론트엔드 외","신입
대학교(4년)↑","정규직
서울 마포구","입사지원
~ 04/13(수)
(2일 전 등록)"
"39","한미헬스케어
한미사이언스그룹","2022년 한미헬스케어㈜ 4월 수시 채용
백엔드/서버개발앱개발웹개발유지보수프론트엔드 외","신입 · 경력
학력무관","정규직
서울 송파구","홈페이지 지원
~ 04/17(일)
(2일 전 등록)"
"40","휴온스그룹","휴온스 그룹 수시채용
유지보수정보보안네트워크임베디드펌웨어 외","신입 · 경력
학력무관","정규직 · 계약직
경기 성남시 수정구","홈페이지 지원
상시채용
(59일 전 등록)"
"41","크나우프석고보드","크나우프 석고보드㈜ 각 부문 담당자 채용
기술지원예산관리지게차QA공정엔지니어 외","신입 · 경력
대학(2,3년)↑","정규직 · 계약직
서울 강남구","홈페이지 지원
~ 04/06(수)
(4일 전 등록)"
"42","이누스주식회사","각 부문 신입 및 경력직 사원 채용 공고
펌웨어IoTMCUC#C++ 외","신입 · 경력
대학교(4년)↑","정규직 · 계약직
서울 강남구","입사지원
~ 04/15(금)
(2일 전 등록)"
"43","에이치에너지","O2O 사업개발/커뮤니티운영/태양광시공관리
사무직교육행정사내행사사이트관리인력관리 외
","경력무관
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/22(금)
(9일 전 등록)"
"44","지아이티
현대자동차그룹","현대자동차 그룹사 (주)지아이티 상반기 대규모 공채/수시 채용 (경력/신입)
데이터분석가백엔드/서버개발앱개발웹개발웹마스터 외","신입 · 경력
학력무관","인턴직
서울 송파구","입사지원
~ 04/20(수)
(2일 전 등록)"
"45","교육지대
이투스교육그룹","교육지대(주) DOS팀 DBA 채용
DBASE(시스템엔지니어)AWSPostgreSQLPython 외","경력
대학(2,3년)↑","정규직
서울 구로구","채용 홈페이지
~ 04/15(금)
(2일 전 등록)"
"46","샘표
샘표그룹","샘표식품㈜ 4월 각 부문 수시 채용
데이터분석가데이터엔지니어백엔드/서버개발웹개발정보보안 외","신입 · 경력
학력무관","정규직 · 계약직
서울 중구","홈페이지 지원
~ 04/10(일)
(3일 전 등록)"
"47","핀크
하나금융그룹","[하나금융그룹/SK텔레콤 합작회사] 경력직 수시 채용
백엔드/서버개발웹개발정보보안DBASE(시스템엔지니어) 외","경력
학력무관","정규직 · 계약직
서울 중구","입사지원
~ 04/14(목)
(2일 전 등록)"
"48","사임당화장품
사임당화장품그룹","2022년 4월 ㈜사임당화장품 공개채용
SAP전산회계더존계산서발행관리회계 외","신입 · 경력
학력무관","정규직
서울 동작구","입사지원
~ 04/10(일)
(3일 전 등록)"
"49","쿠팡풀필먼트서비스
쿠팡그룹","쿠팡CFS 물류, 엔지니어,경영지원 경력직 모집
인력관리전동지게차지게차기계조작원외관검사원 외","경력
대학(2,3년)↑","정규직
전국","접수방법 확인
~ 04/30(토)
(3일 전 등록)"
"50","한국공항공사
국토교통부그룹","한국공항공사 2022년 상반기 신입사원 채용공고
네트워크정보통신GIS공인회계사전산회계 외","신입
학력무관","정규직 · 계약직
전국","홈페이지 지원
~ 04/15(금)
(2일 전 등록)"
"51","씨제이포디플렉스
씨제이그룹","CJ 4Dplex Contents팀 IT부문/시스템 관리자 경력직 채용
기술지원데이터엔지니어백엔드/서버개발보안컨설팅유지보수 외","경력
대학교(4년)↑","정규직
서울 용산구","입사지원
~ 04/15(금)
(12일 전 등록)"
"52"," 비알팜","㈜비알팜 2022년 상반기 각 부문 채용
임상심리사CRA(임상연구원)CRM(임상연구전문가)임상시험제약QA 외","경력
대학교(4년)↑","정규직
서울 송파구","입사지원
~ 04/10(일)
(10일 전 등록)"
"53","대상에프앤비
대상그룹","대상에프앤비(주) 각 부문 신입/경력사원 채용
백엔드/서버개발유지보수정보보안IT컨설팅SE(시스템엔지니어) 외","신입 · 경력
대학(2,3년)↑","정규직
서울 서초구","입사지원
~ 04/13(수)
(4일 전 등록)"
"54","더이앤엠
더이앤엠그룹","2022년 각 부문 신입/경력 채용
데이터분석가백엔드/서버개발앱개발웹개발프론트엔드 외","신입 · 경력
학력무관","정규직 · 계약직
서울 서초구","입사지원
~ 04/14(목)
(3일 전 등록)"
"55","이젠아카데미","[97%취업캠프] 웹디자인, 풀스택, 빅데이터, 카티아 채용연계
데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외","신입 · 경력
학력무관","교육생
서울 강남구","입사지원
~ 04/30(토)
(44일 전 등록)"
"56","대교씨엔에스
대교그룹","[㈜대교CNS] 전략사업본부 신입/경력직 채용
데이터엔지니어백엔드/서버개발앱개발웹개발유지보수 외","신입 · 경력
대학(2,3년)↑","정규직
서울 관악구","입사지원
~ 04/15(금)
(3일 전 등록)"
"57","케이씨에스","㈜케이씨에스 신입/경력사원 모집
기술지원보안컨설팅유지보수정보보안SE(시스템엔지니어) 외","신입 · 경력
학력무관","정규직
서울 마포구","채용 홈페이지
~ 04/21(목)
(3일 전 등록)"
"58","네오플","2022 네오플 공개채용
게임개발기술지원데이터분석가백엔드/서버개발웹개발 외","신입 · 경력
학력무관","정규직
제주 제주시","홈페이지 지원
~ 04/17(일)
(9일 전 등록)"
"59","농협정보시스템
농협그룹","[(주)농협정보시스템] 정규직(신입,경력)/계약직 직원 채용
백엔드/서버개발앱개발웹개발정보보안DBA 외","신입 · 경력
학력무관","정규직 · 계약직
서울전체","홈페이지 지원
~ 04/11(월)
(3일 전 등록)"
"60","케이솔루션즈","IT 개발 직군 신입 및 경력 채용
데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외","신입 · 경력
대학(2,3년)↑","정규직
서울 금천구","입사지원
~ 04/18(월)
(16일 전 등록)"
"61","더블유컨셉코리아
신세계그룹","[W컨셉] 데이터 사이언티스트 경력 채용
데이터엔지니어데이터마이닝모델링알고리즘빅데이터 외
","5 ~ 10년
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/13(수)
(20일 전 등록)"
"62","케이티
케이티그룹","2022년 KT 신입/인턴 채용
백엔드/서버개발보안컨설팅웹개발정보보안퍼블리셔 외","신입
대학교(4년)↑","정규직 · 인턴직
서울전체","홈페이지 지원
~ 04/11(월)
(6일 전 등록)"
"63","로지스올그룹","유로지스넷 신입/경력사원 채용(IT 시스템개발, 데이터사이언스)
보안컨설팅정보보안정보통신IoTAndroid 외","신입 · 경력
대학교(4년)↑","정규직
서울 마포구","홈페이지 지원
~ 04/10(일)
(3일 전 등록)"
"64","우진산전
우진그룹","㈜우진산전 각 부문 신입 및 경력 채용
SE(시스템엔지니어)데이터마이닝C++C언어CSS 외","신입 · 경력
대학(2,3년)↑","정규직 · 계약직
충북 청주시","입사지원
~ 04/10(일)
(4일 전 등록)"
"65","대교씨엔에스
대교그룹","[㈜대교CNS] 정보기술연구소(DevOps 엔지니어) 경력직 채용
데이터엔지니어백엔드/서버개발앱개발웹개발유지보수 외","경력 3년↑
대학(2,3년)↑","정규직
서울 관악구","입사지원
~ 04/15(금)
(3일 전 등록)"
"66","세방그룹","2022년 세방그룹 대졸 신입사원 및 경력사원 공개채용
보안컨설팅유지보수정보보안SE(시스템엔지니어)네트워크 외","신입 · 경력
대학교(4년)↑","정규직
서울 강남구","홈페이지 지원
~ 04/10(일)
(9일 전 등록)"
"67","어보브반도체","어보브반도체 부문별 신입/경력직 채용
유지보수모델링IoTMCUS/W 외","신입 · 경력
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/12(화)
(5일 전 등록)"
"68","에스티에이테스팅컨설팅","SW테스트 컨설턴트 모집
백엔드/서버개발웹마스터유지보수GM(게임운영)IT컨설팅 외","경력 5년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/24(일)
(3일 전 등록)"
"69","기아
현대자동차그룹","각 부문별 신입/경력 채용
공인회계사전산회계회계사AICPAKICPA 외","신입 · 경력
대학교(4년)↑","정규직 · 계약직
서울 서초구","홈페이지 지원
상시채용
(404일 전 등록)"
"70","현대에이치디에스
현대해상화재보험그룹","현대HDS 경력직원 채용
백엔드/서버개발보안컨설팅앱개발웹개발정보보안 외","경력
대학(2,3년)↑","정규직
서울 송파구","홈페이지 지원
~ 04/14(목)
(4일 전 등록)"
"71","데상트코리아
데상트코리아그룹","각 부문별 경력사원 모집
IT컨설팅SE(시스템엔지니어)회계사재무기획재무회계 외","경력
대학(2,3년)↑","정규직
서울 송파구","홈페이지 지원
~ 04/30(토)
(3일 전 등록)"
"72","신한디에스
신한금융지주회사그룹","2022년 신한DS 전 포지션 경력직 수시채용
기술지원데이터분석가데이터엔지니어백엔드/서버개발보안컨설팅 외","경력
학력무관","정규직 · 계약직
서울 중구","홈페이지 지원
~ 04/30(토)
(5일 전 등록)"
"73","더블유컨셉코리아
신세계그룹","[W컨셉] 데이터 엔지니어 경력 채용
데이터엔지니어인프라클라우드AWSHadoop 외
","7 ~ 13년
대학교(4년)↑","정규직
서울 강남구","입사지원
상시채용
(20일 전 등록)"
"74","한국표준협회","22년 2기 인공지능&블록체인 교육생 모집
데이터분석가머신러닝빅데이터AI(인공지능)MySQL 외","경력무관
학력무관","교육생
전국","홈페이지 지원
~ 04/20(수)
(17일 전 등록)"
"75","클라우드그램
메가존그룹","[클라우드그램] 2022 상반기 각 부문별 채용
백엔드/서버개발보안컨설팅앱개발웹개발웹마스터 외","경력무관
학력무관","정규직
서울 강남구","입사지원
~ 06/30(목)
(277일 전 등록)"
"76","풀랩","React 프론트엔드 엔지니어 채용
웹개발프론트엔드ReactReactJSC++ 외","경력 2년↑
대학교(4년)↑","정규직
서울 구로구","입사지원
상시채용
(32일 전 등록)"
"77","패스트파이브","[FASTFIVE] 파이브클라우드팀 각 부문 매니저
네트워크빌링솔루션클라우드IaaS 외
","경력무관
학력무관","정규직
서울 강남구","홈페이지 지원
~ 04/30(토)
(34일 전 등록)"
"78","엔에스티정보통신","경영지원, 소프트웨어, 하드웨어, 네트워크영업 경력/신입 모집
기술지원데이터엔지니어백엔드/서버개발프론트엔드SE(시스템엔지니어) 외","경력
고졸↑","정규직
서울 금천구","입사지원
~ 04/17(일)
(6일 전 등록)"
"79","페이타랩","대규모 투자유치로 급성장중인 스타트업 '패스오더' 전직군 채용
백엔드/서버개발유지보수프론트엔드네트워크솔루션 외
","경력무관
학력무관","정규직 · 계약직
서울 강남구","입사지원
~ 04/13(수)
(93일 전 등록)"
"80","코리아폴리스쿨
코리아폴리스쿨그룹","[코리아폴리스쿨] JAVA / DBA / 웹,앱 디자이너 / QA테스터 모집
백엔드/서버개발앱개발웹개발정보보안퍼블리셔 외","경력
학력무관","정규직
서울 송파구","입사지원
~ 04/13(수)
(20일 전 등록)"
"81","윈하이텍
윈스틸그룹","2022년 윈하이텍 상반기 신입/경력직 채용
백엔드/서버개발C#MSSQLMySQL세무사 외","신입 · 경력
대학(2,3년)↑","정규직
서울 금천구","입사지원
~ 04/14(목)
(19일 전 등록)"
"82","마크로젠
마크로젠그룹","㈜마크로젠 각 부문 신입/경력 직원채용
데이터분석가데이터엔지니어앱개발웹개발데이터라벨링 외","신입 · 경력
대학교(4년)↑","정규직 · 병역특례
서울 강남구","채용 홈페이지
오늘마감
(6일 전 등록)"
"83","문화방송
문화방송그룹","2022 MBC 상반기 경력사원 공개채용
신사업발굴투자전략투자심사펀드상품기획 외","경력 1년↑
학력무관","정규직
서울 마포구","홈페이지 지원
~ 04/13(수)
(2일 전 등록)"
"84","아이엠에이아이","취업축하금 50만원
Desktop용 GUI 개발자
데이터분석가백엔드/서버개발웹개발퍼블리셔프론트엔드 외","1 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(2일 전 등록)"
"85","엔도아이","취업축하금 50만원
Senior AI Engineer
데이터분석가딥러닝머신러닝블록체인빅데이터 외","5 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(2일 전 등록)"
"86","아이엠에이아이","취업축하금 50만원
Senior AI Engineer
데이터분석가백엔드/서버개발웹개발딥러닝머신러닝 외","5 ~ 9년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(2일 전 등록)"
"87","카사코리아","취업축하금 50만원
Growth PO 경력직 채용
데이터분석가백엔드/서버개발웹개발SE(시스템엔지니어)데이터마이닝 외","2 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
~ 05/01(일)
(2일 전 등록)"
"88","에이치알엔","SK그룹 11번가 본사 서치플랫폼기획팀 통계/SQL/데이터검수 채용
데이터분석가데이터엔지니어데이터라벨링데이터마이닝데이터시각화 외","경력무관
고졸↑","계약직
서울전체
2,600만원 이상 (면접 후 협의)","입사지원
~ 04/06(수)
(19일 전 등록)"
"89","에이치알엔","[SK그룹사]SK오앤에스 CAD사무직/주5일/다양한 복지혜택
사무직사무보조자료입력정보처리공정설계 외
","경력무관
고졸↑","계약직
서울전체
2,550만원 이상 (면접 후 협의)","입사지원
오늘마감
(3일 전 등록)"
"90","리틀팍스
리틀팍스그룹","PHP 개발자 채용
백엔드/서버개발웹개발유지보수DBAQA/테스터 외
","경력 5년↑
학력무관","정규직
서울 강남구","입사지원
채용시
(48일 전 등록)"
"91","나이스지니데이타
NICE그룹","취업축하금 50만원
데이터 분석 컨설팅 (Data analysis / consulting)
데이터분석가데이터엔지니어SE(시스템엔지니어)데이터마이닝데이터시각화 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(3일 전 등록)"
"92","피플앤드테크놀러지","R&D 본부 - IoT 빅데이터 플랫폼 개발
백엔드/서버개발웹개발SE(시스템엔지니어)빅데이터클라우드 외
","경력무관
고졸↑","정규직 · 프리랜서
서울 강남구","입사지원
~ 05/01(일)
(2일 전 등록)"
"93","해커스교육그룹","[DBA/SE/SAP/QA/취약점진단] 신입 및 경력직 모집
기술지원데이터분석가데이터엔지니어백엔드/서버개발앱개발 외","신입 · 경력
학력무관","정규직
서울 서초구","입사지원
~ 04/30(토)
(6일 전 등록)"
"94","해커스교육그룹","[PHP/React Native/iOS/웹퍼블리셔] 각 부문별 경력직 모집
기술지원데이터분석가데이터엔지니어백엔드/서버개발앱개발 외","신입 · 경력
학력무관","정규직
서울 서초구","입사지원
~ 04/30(토)
(6일 전 등록)"
"95","해커스교육그룹","[경력] DBA 담당 팀장급 채용
데이터분석가데이터엔지니어DBA데이터라벨링데이터마이닝 외","경력 10년↑
학력무관","정규직
서울 서초구","입사지원
~ 04/30(토)
(6일 전 등록)"
"96","케이지이니시스
KG그룹","KG이니시스 상반기 부문별 신입 및 경력직 채용 (자회사 포함)
백엔드/서버개발앱개발웹개발DBAIT컨설팅 외","신입 · 경력
대학(2,3년)↑","정규직 · 계약직
서울 중구","입사지원
내일마감
(6일 전 등록)"
"97","그로우코퍼레이션
이투스교육그룹","[그로우코퍼레이션] 2022년 4월 각 부문 경력직 채용
웹개발웹마스터유지보수정보보안퍼블리셔 외","경력
대학(2,3년)↑","정규직
서울 서초구","채용 홈페이지
~ 04/30(토)
(3일 전 등록)"
"98","이투스교육
이투스교육그룹","[이투스교육] IT본부 경력직 채용
백엔드/서버개발앱개발웹개발유지보수프론트엔드 외","신입 · 경력
대학교(4년)↑","정규직 · 계약직
서울 서초구","채용 홈페이지
~ 04/30(토)
(3일 전 등록)"
"99","데브시스터즈
데브시스터즈그룹","[데브시스터즈] BI/DW Engineer
백엔드/서버개발DBASE(시스템엔지니어)네트워크빅데이터 외
","경력 3년↑
학력무관","정규직
서울 강남구","홈페이지 지원
채용시
(12일 전 등록)"
"100","데브시스터즈
데브시스터즈그룹","[데브시스터즈] Business Data Analyst (경력)
데이터분석가빅데이터DWOLAPHadoop 외","경력 3년↑
학력무관","정규직
서울 강남구","홈페이지 지원
채용시
(12일 전 등록)"
"101","에넥스텔레콤","통신사업/공공사업/채널영업/온라인사업/회계팀/피졸로 채용공고
유지보수전산회계계산서발행관리회계급여(Payroll) 외","신입 · 경력
학력무관","정규직
서울 강남구","입사지원
내일마감
(20일 전 등록)"
"102","DB그룹
DB그룹","2022년 상반기 DB그룹 신입사원 공개채용
백엔드/서버개발앱개발웹개발유지보수네트워크 외","신입
대학교(4년)↑","정규직
전국","홈페이지 지원
~ 04/14(목)
(5일 전 등록)"
"103","인아그룹","2022년 상반기 인아그룹 사원 채용
DBA임베디드자율주행정보통신펌웨어 외","신입 · 경력
대학(2,3년)↑","정규직 · 병역특례
서울 금천구","입사지원
내일마감
(5일 전 등록)"
"104","그로우코퍼레이션
이투스교육그룹","[그로우코퍼레이션] 4월 IT부문 경력직 채용
백엔드/서버개발웹개발웹마스터유지보수정보보안 외","경력
대학(2,3년)↑","정규직
서울 서초구","채용 홈페이지
~ 04/30(토)
(3일 전 등록)"
"105","더블유쇼핑
미디어윌홀딩스그룹","2022년도 상반기 더블유쇼핑 부문별 공개 채용
기술지원데이터분석가데이터엔지니어백엔드/서버개발앱개발 외","경력
학력무관","정규직 · 계약직
서울 서초구","입사지원
~ 04/07(목)
(6일 전 등록)"
"106","지니너스","[지니너스㈜] 분야별 신입/경력직 공개채용
기술지원데이터분석가데이터엔지니어유지보수네트워크 외","신입 · 경력
학력무관","정규직
서울 송파구","입사지원
~ 04/06(수)
(12일 전 등록)"
"107","넷앤드","제품 기획, QA, 엔지니어 및 인프라 개발 인력 채용
보안컨설팅유지보수정보보안IT컨설팅QA/테스터 외","경력무관
학력무관","정규직
서울 영등포구","입사지원
~ 04/30(토)
(2일 전 등록)"
"108","두들린","취업축하금 50만원
[그리팅] 백엔드 엔지니어(Java, Kotlin)
백엔드/서버개발웹개발프론트엔드DBAECMAScript 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(3일 전 등록)"
"109","엔엑스테크놀로지","취업축하금 50만원
[경력] 임베디드 소프트웨어 (펌웨어) 개발자
SE(시스템엔지니어)펌웨어S/WC#C++ 외","5 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(3일 전 등록)"
"110","이노베이션엑스","취업축하금 50만원
[InnovationX] Back-end Developer
백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)딥러닝 외","5 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(3일 전 등록)"
"111","알티모빌리티","취업축하금 50만원
데이터 사이언티스트(알고리즘 응용/개발) 채용
데이터분석가SE(시스템엔지니어)데이터마이닝데이터시각화딥러닝 외","1 ~ 3년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/30(토)
(3일 전 등록)"
